"category_code";"subcategory_code";"category_name";"subcategory_name";"n_prods";"n_choices"
"T";"T0";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"other and unspecified";76;2850
"T";"T1";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"herrings, mackerel, tuna";143;10153
"T";"T2";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"gadoid fishes, cod, haddock, pollack";74;2701
"T";"T3";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"flatfish (flounder, sole)";63;1953
"T";"T4";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"salmonidae (salmon, trout)";123;7503
"T";"T5";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"cyprinidae (carp)";30;435
"T";"T6";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"percoid fish (perch)";64;2016
"T";"T7";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"shellfish";102;5151
"T";"T8";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"fish products";57;1596
"T";"T9";"Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks)";"convenience food (fish)";18;153
"U";"U0";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"other and unspecified";27;351
"U";"U1";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"beef";133;8778
"U";"U2";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"beef cuts";164;13366
"U";"U3";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"veal";112;6216
"U";"U4";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"veal cuts";152;11476
"U";"U5";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"pork";133;8778
"U";"U6";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"pork cuts";206;21115
"U";"U7";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"mutton/lamb";64;2016
"U";"U8";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"mutton/lamb cuts";75;2775
"U";"U9";"Meat (excluding variety meats), Beef, veal, pork, mutton, lamb";"convenience food based on meat";33;528
"V";"V0";"Game, poultry, game birds, variety meats/giblets";"other and unspecified";6;15
"V";"V1";"Game, poultry, game birds, variety meats/giblets";"horse-, goat-, rabbit meat";16;120
"V";"V2";"Game, poultry, game birds, variety meats/giblets";"game mammals";32;496
"V";"V3";"Game, poultry, game birds, variety meats/giblets";"game birds";11;55
"V";"V4";"Game, poultry, game birds, variety meats/giblets";"poultry";92;4186
"V";"V5";"Game, poultry, game birds, variety meats/giblets";"variety meats of livestock";68;2278
"V";"V6";"Game, poultry, game birds, variety meats/giblets";"variety meats (game, poultry)";13;78
"V";"V89";"Game, poultry, game birds, variety meats/giblets";"game, poultry products";13;78
"W";"W0";"Sausages and other meat products";"other and unspecified";4;6
"W";"W1";"Sausages and other meat products";"dry sausages";71;2485
"W";"W2";"Sausages and other meat products";"scalded sausages";112;6216
"W";"W3";"Sausages and other meat products";"cooked sausages";70;2415
"W";"W4";"Sausages and other meat products";"bacon, ham";19;171
"W";"W56";"Sausages and other meat products";"meat products, cured";16;120
"W";"W8";"Sausages and other meat products";"meat products";60;1770
"W";"W9";"Sausages and other meat products";"convenience food (meats)";15;105
